,SPY,QQQ,SMH,XLU
2023-05-11,87.9888765294772,82.06127419561595,79.01138211382114,100.45205037132709
2023-05-12,87.88876529477197,81.79464171260095,78.84878048780487,101.03325799160478
2023-05-15,88.18909899888766,82.22022817587488,80.90406504065041,99.7416855020988
2023-05-16,87.60400444938821,82.3253429047558,80.90406504065041,97.513722957701
2023-05-17,88.64293659621802,83.34059735931291,83.0569105691057,97.22311914756216
2023-05-18,89.51279199110122,84.86347904114857,86.00325203252031,96.90022602518567
2023-05-19,89.37708565072303,84.65837713113703,85.54146341463415,96.73877946399742
2023-05-22,89.41713014460511,84.94551980515318,85.46991869918699,96.73877946399742
2023-05-23,88.42714126807564,83.8738623253429,84.24715447154472,96.44817565385857
2023-05-24,87.75528364849833,83.42776567106782,82.97886178861789,95.83467872134324
2023-05-25,88.53170189098999,85.4736572234329,90.12682926829268,94.51081691959962
2023-05-26,89.67074527252502,87.67337520830662,94.6211382113821,94.51081691959962
2023-05-30,89.70856507230256,88.04512242020253,95.02439024390245,94.18792379722312
2023-05-31,89.22358175750834,87.4631457505448,92.50731707317073,95.05973522763965
2023-06-01,90.0622914349277,88.57582361235738,93.99024390243902,94.34937035841136
2023-06-02,91.33259176863181,89.19882066401743,93.73658536585366,95.2857604133032
2023-06-05,91.19688542825361,89.30393539289834,92.59837398373983,95.73781078463028
2023-06-06,91.39488320355952,89.32188181002435,93.29430894308943,95.673232160155
2023-06-07,91.08342602892102,87.76823484168696,92.7609756097561,97.28769777203746
2023-06-08,91.63737486095661,88.86809383412383,93.77560975609757,97.7074588311269
2023-06-09,91.81312569521691,89.19882066401743,94.21138211382114,97.15854052308686
2023-06-12,92.63181312569522,90.7165747981028,97.09268292682927,96.99709396189861
2023-06-13,93.23915461624027,91.42161261376746,98.41951219512195,96.93251533742331
2023-06-14,93.3392658509455,92.07024740417894,99.77886178861789,96.90022602518567
2023-06-15,94.5027808676307,93.17010639661582,99.10243902439025,97.9657733290281
2023-06-16,94.14460511679644,92.54454557108063,98.33495934959349,98.45011301259284
2023-06-20,93.70856507230256,92.46250480707602,98.04878048780488,97.31998708427511
2023-06-21,93.19466073414905,91.20625560825535,95.8048780487805,98.15950920245399
2023-06-22,93.56395995550612,92.28047686194077,96.31869918699186,97.3845657087504
2023-06-23,92.83426028921023,91.34982694526343,94.69918699186992,95.93154665805619
2023-06-26,92.45606229143493,90.13972567619535,94.23089430894309,96.86793671294802
2023-06-27,93.47274749721913,91.68568132290731,97.25528455284552,96.86793671294802
2023-06-28,93.51501668520578,91.85745417254198,96.27967479674797,95.44720697449145
